     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       304    103.00     397.50     0.954465E+04     0.954465E+04
       305      0.50     398.50     0.952625E+04     0.952625E+04
       306      1.50     398.50     0.952608E+04     0.952608E+04
       307      2.50     398.50     0.952954E+04     0.952954E+04
       308      3.50     398.50     0.953470E+04     0.953470E+04
       309      4.25     398.50     0.953792E+04     0.953792E+04
       310      4.75     398.50     0.954003E+04     0.954003E+04
       311      5.50     398.50     0.954462E+04     0.954462E+04
       312      6.50     398.50     0.955193E+04     0.955193E+04
       313      7.50     398.50     0.956129E+04     0.956129E+04
       314      8.50     398.50     0.957021E+04     0.957021E+04
       315     10.00     398.50     0.958935E+04     0.958935E+04
       316     13.00     398.50     0.960953E+04     0.960953E+04
       317     19.00     398.50     0.962834E+04     0.962834E+04
       318     31.00     398.50     0.956315E+04     0.956315E+04
       319     55.00     398.50     0.947097E+04     0.947097E+04
       320    103.00     398.50     0.954482E+04     0.954482E+04
       321      0.50     399.50     0.950014E+04     0.950014E+04
       322      1.50     399.50     0.950231E+04     0.950231E+04
       323      2.50     399.50     0.950666E+04     0.950666E+04
       324      3.50     399.50     0.951411E+04     0.951411E+04
       325      4.25     399.50     0.952028E+04     0.952028E+04
       326      4.75     399.50     0.952303E+04     0.952303E+04
       327      5.50     399.50     0.952660E+04     0.952660E+04
       328      6.50     399.50     0.953510E+04     0.953510E+04
       329      7.50     399.50     0.954550E+04     0.954550E+04
       330      8.50     399.50     0.955467E+04     0.955467E+04
       331     10.00     399.50     0.957509E+04     0.957509E+04
       332     13.00     399.50     0.960339E+04     0.960339E+04
       333     19.00     399.50     0.963458E+04     0.963458E+04
       334     31.00     399.50     0.956522E+04     0.956522E+04
       335     55.00     399.50     0.946785E+04     0.946785E+04
       336    103.00     399.50     0.954498E+04     0.954498E+04
       337      0.50     400.50     0.947196E+04     0.947196E+04
       338      1.50     400.50     0.947483E+04     0.947483E+04
       339      2.50     400.50     0.947969E+04     0.947969E+04
       340      3.50     400.50     0.948783E+04     0.948783E+04
       341      4.25     400.50     0.949564E+04     0.949564E+04
       342      4.75     400.50     0.949829E+04     0.949829E+04
       343      5.50     400.50     0.950447E+04     0.950447E+04
       344      6.50     400.50     0.951615E+04     0.951615E+04
       345      7.50     400.50     0.952764E+04     0.952764E+04
       346      8.50     400.50     0.954033E+04     0.954033E+04
       347     10.00     400.50     0.956023E+04     0.956023E+04
       348     13.00     400.50     0.959608E+04     0.959608E+04
       349     19.00     400.50     0.963853E+04     0.963853E+04
       350     31.00     400.50     0.956733E+04     0.956733E+04
       351     55.00     400.50     0.946461E+04     0.946461E+04
       352    103.00     400.50     0.954515E+04     0.954515E+04
       353      0.50     401.50     0.944277E+04     0.944277E+04
       354      1.50     401.50     0.944598E+04     0.944598E+04
       355      2.50     401.50     0.945195E+04     0.945195E+04
       356      3.50     401.50     0.945899E+04     0.945899E+04
       357      4.25     401.50     0.946523E+04     0.946523E+04
       358      4.75     401.50     0.947148E+04     0.947148E+04
       359      5.50     401.50     0.948065E+04     0.948065E+04
       360      6.50     401.50     0.949172E+04     0.949172E+04
       361      7.50     401.50     0.950476E+04     0.950476E+04
       362      8.50     401.50     0.952173E+04     0.952173E+04
       363     10.00     401.50     0.954462E+04     0.954462E+04
       364     13.00     401.50     0.958524E+04     0.958524E+04
       365     19.00     401.50     0.964263E+04     0.964263E+04
       366     31.00     401.50     0.956962E+04     0.956962E+04
       367     55.00     401.50     0.946121E+04     0.946121E+04
       368    103.00     401.50     0.954535E+04     0.954535E+04
       369      0.50     402.50     0.941299E+04     0.941299E+04
       370      1.50     402.50     0.941596E+04     0.941596E+04
       371      2.50     402.50     0.942045E+04     0.942045E+04
       372      3.50     402.50     0.942741E+04     0.942741E+04
       373      4.25     402.50     0.943593E+04     0.943593E+04
       374      4.75     402.50     0.944291E+04     0.944291E+04
       375      5.50     402.50     0.945164E+04     0.945164E+04
       376      6.50     402.50     0.946736E+04     0.946736E+04
       377      7.50     402.50     0.948297E+04     0.948297E+04
       378      8.50     402.50     0.949719E+04     0.949719E+04
       379     10.00     402.50     0.952313E+04     0.952313E+04
       380     13.00     402.50     0.957487E+04     0.957487E+04
       381     19.00     402.50     0.964744E+04     0.964744E+04
       382     31.00     402.50     0.957216E+04     0.957216E+04
       383     55.00     402.50     0.945768E+04     0.945768E+04
       384    103.00     402.50     0.954557E+04     0.954557E+04
       385      0.50     403.50     0.937491E+04     0.937491E+04
       386      1.50     403.50     0.937673E+04     0.937673E+04
       387      2.50     403.50     0.938215E+04     0.938215E+04
