     COMPUTED NODAL POINT DISPLACEMENTS,
  NODE  R-COORD  Z-COORD  GRA DISP_R  GRA DISP_Z  SUR DISP_R  SUR DISP_Z
   171     9.00   320.00   0.437E-05  -0.180E+00   0.920E-04  -0.210E-02
   172    10.00   320.00   0.492E-05  -0.180E+00   0.102E-03  -0.210E-02
   173    11.00   320.00   0.546E-05  -0.180E+00   0.112E-03  -0.209E-02
   174    13.00   320.00   0.654E-05  -0.180E+00   0.131E-03  -0.208E-02
   175    15.00   320.00   0.759E-05  -0.180E+00   0.150E-03  -0.207E-02
   176    19.00   320.00   0.958E-05  -0.180E+00   0.186E-03  -0.204E-02
   177    23.00   320.00   0.114E-04  -0.180E+00   0.220E-03  -0.200E-02
   178    31.00   320.00   0.144E-04  -0.180E+00   0.276E-03  -0.190E-02
   179    39.00   320.00   0.166E-04  -0.180E+00   0.320E-03  -0.179E-02
   180    55.00   320.00   0.180E-04  -0.180E+00   0.352E-03  -0.155E-02
   181    71.00   320.00   0.164E-04  -0.180E+00   0.330E-03  -0.132E-02
   182   103.00   320.00   0.929E-05  -0.180E+00   0.190E-03  -0.988E-03
   183   135.00   320.00   0.000E+00  -0.180E+00   0.000E+00  -0.871E-03
   184     0.00   336.00   0.000E+00  -0.183E+00   0.000E+00  -0.264E-02
   185     1.00   336.00   0.683E-06  -0.183E+00   0.167E-04  -0.264E-02
   186     2.00   336.00   0.138E-05  -0.183E+00   0.333E-04  -0.263E-02
   187     3.00   336.00   0.210E-05  -0.183E+00   0.499E-04  -0.263E-02
   188     4.00   336.00   0.283E-05  -0.183E+00   0.664E-04  -0.263E-02
   189     4.50   336.00   0.320E-05  -0.183E+00   0.746E-04  -0.263E-02
   190     5.00   336.00   0.356E-05  -0.183E+00   0.828E-04  -0.263E-02
   191     6.00   336.00   0.426E-05  -0.183E+00   0.991E-04  -0.262E-02
   192     7.00   336.00   0.492E-05  -0.183E+00   0.115E-03  -0.262E-02
   193     8.00   336.00   0.558E-05  -0.183E+00   0.131E-03  -0.261E-02
   194     9.00   336.00   0.622E-05  -0.183E+00   0.147E-03  -0.260E-02
   195    11.00   336.00   0.751E-05  -0.183E+00   0.178E-03  -0.259E-02
   196    15.00   336.00   0.101E-04  -0.183E+00   0.238E-03  -0.254E-02
   197    23.00   336.00   0.150E-04  -0.183E+00   0.342E-03  -0.243E-02
   198    39.00   336.00   0.225E-04  -0.183E+00   0.474E-03  -0.211E-02
   199    71.00   336.00   0.234E-04  -0.183E+00   0.447E-03  -0.141E-02
   200   135.00   336.00   0.000E+00  -0.183E+00   0.000E+00  -0.819E-03
   201     0.00   352.00   0.000E+00  -0.186E+00   0.000E+00  -0.341E-02
   202     0.50   352.00   0.415E-06  -0.186E+00   0.126E-04  -0.341E-02
   203     1.00   352.00   0.830E-06  -0.186E+00   0.253E-04  -0.341E-02
   204     1.50   352.00   0.124E-05  -0.186E+00   0.379E-04  -0.340E-02
   205     2.00   352.00   0.165E-05  -0.186E+00   0.505E-04  -0.340E-02
   206     2.50   352.00   0.204E-05  -0.186E+00   0.631E-04  -0.340E-02
   207     3.00   352.00   0.244E-05  -0.186E+00   0.757E-04  -0.340E-02
   208     3.50   352.00   0.283E-05  -0.186E+00   0.882E-04  -0.340E-02
   209     4.00   352.00   0.322E-05  -0.186E+00   0.101E-03  -0.339E-02
   210     4.25   352.00   0.341E-05  -0.186E+00   0.107E-03  -0.339E-02
   211     4.50   352.00   0.361E-05  -0.186E+00   0.113E-03  -0.339E-02
   212     4.75   352.00   0.380E-05  -0.186E+00   0.119E-03  -0.339E-02
   213     5.00   352.00   0.399E-05  -0.186E+00   0.126E-03  -0.339E-02
   214     5.50   352.00   0.438E-05  -0.186E+00   0.138E-03  -0.338E-02
   215     6.00   352.00   0.477E-05  -0.186E+00   0.150E-03  -0.338E-02
   216     6.50   352.00   0.518E-05  -0.186E+00   0.163E-03  -0.337E-02
   217     7.00   352.00   0.558E-05  -0.186E+00   0.175E-03  -0.337E-02
   218     7.50   352.00   0.601E-05  -0.186E+00   0.187E-03  -0.336E-02
   219     8.00   352.00   0.643E-05  -0.186E+00   0.199E-03  -0.336E-02
