  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
    122     8.50   384.00     -0.274899E+01  -0.270097E+01  -0.483313E+01   0.275799E+00
    123    10.00   384.00     -0.276539E+01  -0.270066E+01  -0.478651E+01   0.314982E+00
    124    13.00   384.00     -0.280205E+01  -0.269936E+01  -0.467700E+01   0.381047E+00
    125    19.00   384.00     -0.286930E+01  -0.268940E+01  -0.441537E+01   0.456507E+00
    126    31.00   384.00     -0.292751E+01  -0.265087E+01  -0.389471E+01   0.440688E+00
    127    55.00   384.00     -0.290428E+01  -0.266634E+01  -0.342648E+01   0.229239E+00
    128   103.00   384.00     -0.280906E+01  -0.270981E+01  -0.327982E+01   0.468090E-01
    129     0.50   387.00     -0.253346E+01  -0.253313E+01  -0.498360E+01   0.212128E-01
    130     1.50   387.00     -0.253524E+01  -0.253323E+01  -0.497917E+01   0.636645E-01
    131     2.50   387.00     -0.253894E+01  -0.253300E+01  -0.496911E+01   0.105467E+00
    132     3.50   387.00     -0.254405E+01  -0.253265E+01  -0.495408E+01   0.146648E+00
    133     4.25   387.00     -0.254852E+01  -0.253205E+01  -0.493960E+01   0.176251E+00
    134     4.75   387.00     -0.255223E+01  -0.253179E+01  -0.492863E+01   0.195875E+00
    135     5.50   387.00     -0.255874E+01  -0.253179E+01  -0.491084E+01   0.224266E+00
    136     6.50   387.00     -0.256871E+01  -0.253152E+01  -0.488320E+01   0.261803E+00
    137     7.50   387.00     -0.257990E+01  -0.253097E+01  -0.485099E+01   0.296255E+00
    138     8.50   387.00     -0.259188E+01  -0.253065E+01  -0.481609E+01   0.329004E+00
    139    10.00   387.00     -0.261292E+01  -0.253112E+01  -0.475869E+01   0.374659E+00
    140    13.00   387.00     -0.265874E+01  -0.252988E+01  -0.462174E+01   0.449579E+00
    141    19.00   387.00     -0.273880E+01  -0.251874E+01  -0.430291E+01   0.525455E+00
    142    31.00   387.00     -0.279602E+01  -0.247581E+01  -0.370093E+01   0.482687E+00
    143    55.00   387.00     -0.275198E+01  -0.249902E+01  -0.321112E+01   0.229706E+00
    144   103.00   387.00     -0.263731E+01  -0.253946E+01  -0.307117E+01   0.449986E-01
    145     0.50   388.50     -0.245100E+01  -0.245052E+01  -0.501240E+01   0.235323E-01
    146     1.50   388.50     -0.245254E+01  -0.245036E+01  -0.500711E+01   0.696091E-01
    147     2.50   388.50     -0.245592E+01  -0.244952E+01  -0.499515E+01   0.116405E+00
    148     3.50   388.50     -0.246320E+01  -0.245014E+01  -0.497897E+01   0.161494E+00
    149     4.25   388.50     -0.246767E+01  -0.244898E+01  -0.496219E+01   0.194014E+00
    150     4.75   388.50     -0.247148E+01  -0.244829E+01  -0.494906E+01   0.215414E+00
    151     5.50   388.50     -0.247852E+01  -0.244784E+01  -0.492828E+01   0.246564E+00
    152     6.50   388.50     -0.249020E+01  -0.244762E+01  -0.489662E+01   0.287869E+00
    153     7.50   388.50     -0.250347E+01  -0.244819E+01  -0.486224E+01   0.325098E+00
    154     8.50   388.50     -0.251642E+01  -0.244738E+01  -0.482254E+01   0.360183E+00
    155    10.00   388.50     -0.254005E+01  -0.244741E+01  -0.475643E+01   0.409328E+00
    156    13.00   388.50     -0.259161E+01  -0.244664E+01  -0.460347E+01   0.489895E+00
    157    19.00   388.50     -0.267828E+01  -0.243435E+01  -0.424977E+01   0.563785E+00
    158    31.00   388.50     -0.273290E+01  -0.238851E+01  -0.360243E+01   0.504670E+00
    159    55.00   388.50     -0.267648E+01  -0.241632E+01  -0.310356E+01   0.228595E+00
    160   103.00   388.50     -0.255118E+01  -0.245433E+01  -0.296702E+01   0.439303E-01
    161     0.50   389.50     -0.239634E+01  -0.239586E+01  -0.503996E+01   0.250344E-01
    162     1.50   389.50     -0.239914E+01  -0.239624E+01  -0.503392E+01   0.742519E-01
    163     2.50   389.50     -0.240337E+01  -0.239627E+01  -0.502165E+01   0.124167E+00
    164     3.50   389.50     -0.240956E+01  -0.239594E+01  -0.500338E+01   0.172111E+00
    165     4.25   389.50     -0.241473E+01  -0.239488E+01  -0.498543E+01   0.207268E+00
    166     4.75   389.50     -0.242060E+01  -0.239517E+01  -0.497226E+01   0.229932E+00
    167     5.50   389.50     -0.242912E+01  -0.239493E+01  -0.494932E+01   0.263562E+00
    168     6.50   389.50     -0.244086E+01  -0.239440E+01  -0.491478E+01   0.307083E+00
    169     7.50   389.50     -0.245336E+01  -0.239371E+01  -0.487620E+01   0.346395E+00
    170     8.50   389.50     -0.246933E+01  -0.239391E+01  -0.483368E+01   0.383955E+00
    171    10.00   389.50     -0.249460E+01  -0.239395E+01  -0.476215E+01   0.435453E+00
    172    13.00   389.50     -0.254948E+01  -0.239247E+01  -0.459604E+01   0.519455E+00
