  STRAINS @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD       EPS R          EPS TH         EPS Z         EPS RZ
    161     0.50   389.50      0.985228E-04   0.985951E-04  -0.220535E-03   0.762085E-05
    162     1.50   389.50      0.979973E-04   0.984133E-04  -0.219789E-03   0.227555E-04
    163     2.50   389.50      0.969699E-04   0.980664E-04  -0.218340E-03   0.377504E-04
    164     3.50   389.50      0.954260E-04   0.975514E-04  -0.216165E-03   0.524379E-04
    165     4.25   389.50      0.939396E-04   0.970516E-04  -0.214044E-03   0.631538E-04
    166     4.75   389.50      0.927882E-04   0.966649E-04  -0.212413E-03   0.701299E-04
    167     5.50   389.50      0.908419E-04   0.960078E-04  -0.209670E-03   0.802993E-04
    168     6.50   389.50      0.879213E-04   0.949955E-04  -0.205504E-03   0.933097E-04
    169     7.50   389.50      0.846235E-04   0.938388E-04  -0.200780E-03   0.105610E-03
    170     8.50   389.50      0.809684E-04   0.925443E-04  -0.195528E-03   0.117063E-03
    171    10.00   389.50      0.749221E-04   0.903658E-04  -0.186826E-03   0.132565E-03
    172    13.00   389.50      0.614621E-04   0.852856E-04  -0.167131E-03   0.156959E-03
    173    19.00   389.50      0.334816E-04   0.732375E-04  -0.123873E-03   0.179636E-03
    174    31.00   389.50     -0.624081E-05   0.488256E-04  -0.526903E-04   0.157169E-03
    175    55.00   389.50     -0.214293E-04   0.188088E-04  -0.192886E-05   0.675838E-04
    176   103.00   389.50     -0.110092E-04   0.262856E-05   0.610867E-05   0.104796E-04
    177     0.50   390.50      0.103221E-03   0.103299E-03  -0.231072E-03   0.817532E-05
    178     1.50   390.50      0.102642E-03   0.103101E-03  -0.230249E-03   0.243957E-04
    179     2.50   390.50      0.101507E-03   0.102718E-03  -0.228644E-03   0.404243E-04
    180     3.50   390.50      0.998119E-04   0.102150E-03  -0.226252E-03   0.561290E-04
    181     4.25   390.50      0.981928E-04   0.101601E-03  -0.223941E-03   0.675856E-04
    182     4.75   390.50      0.969312E-04   0.101178E-03  -0.222154E-03   0.750343E-04
    183     5.50   390.50      0.948028E-04   0.100458E-03  -0.219148E-03   0.858781E-04
    184     6.50   390.50      0.916051E-04   0.993502E-04  -0.214582E-03   0.996975E-04
