

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0266      |      (-1.108e-04, -9.297e-02)
                 0267      |      (-8.158e-05, -9.290e-02)
                 0268      |      (-5.327e-05, -9.285e-02)
                 0269      |      (-2.607e-05, -9.283e-02)
                 0270      |      (0.000e+00, -9.282e-02)
                 0271      |      (0.000e+00, -9.710e-02)
                 0272      |      (-4.727e-06, -9.706e-02)
                 0273      |      (3.192e-05, -9.694e-02)
                 0274      |      (4.567e-05, -9.668e-02)
                 0275      |      (-9.088e-05, -9.642e-02)
                 0276      |      (-1.913e-04, -9.627e-02)
                 0277      |      (-2.409e-04, -9.616e-02)
                 0278      |      (-2.722e-04, -9.606e-02)
                 0279      |      (-2.957e-04, -9.595e-02)
                 0280      |      (-3.141e-04, -9.585e-02)
                 0281      |      (-3.285e-04, -9.575e-02)
                 0282      |      (-3.398e-04, -9.564e-02)
                 0283      |      (-3.482e-04, -9.554e-02)
                 0284      |      (-3.566e-04, -9.538e-02)
                 0285      |      (-3.607e-04, -9.523e-02)
                 0286      |      (-3.612e-04, -9.508e-02)
                 0287      |      (-3.587e-04, -9.492e-02)
                 0288      |      (-3.470e-04, -9.463e-02)
                 0289      |      (-3.285e-04, -9.436e-02)
                 0290      |      (-2.794e-04, -9.387e-02)
                 0291      |      (-2.224e-04, -9.348e-02)
                 0292      |      (-1.633e-04, -9.318e-02)
                 0293      |      (-1.055e-04, -9.297e-02)
                 0294      |      (-5.072e-05, -9.285e-02)
                 0295      |      (0.000e+00, -9.281e-02)
                 0296      |      (0.000e+00, -9.691e-02)
                 0297      |      (-2.201e-05, -9.690e-02)
                 0298      |      (-4.297e-05, -9.687e-02)
                 0299      |      (-6.242e-05, -9.683e-02)
                 0300      |      (-8.063e-05, -9.677e-02)
                 0301      |      (-9.821e-05, -9.669e-02)
                 0302      |      (-1.186e-04, -9.660e-02)
                 0303      |      (-1.430e-04, -9.650e-02)
                 0304      |      (-1.683e-04, -9.642e-02)
                 0305      |      (-1.903e-04, -9.635e-02)
                 0306      |      (-2.092e-04, -9.628e-02)
                 0307      |      (-2.258e-04, -9.622e-02)
                 0308      |      (-2.402e-04, -9.617e-02)
                 0309      |      (-2.531e-04, -9.612e-02)
                 0310      |      (-2.646e-04, -9.606e-02)
                 0311      |      (-2.751e-04, -9.601e-02)
                 0312      |      (-2.846e-04, -9.596e-02)
                 0313      |      (-2.931e-04, -9.591e-02)
                 0314      |      (-3.008e-04, -9.585e-02)
                 0315      |      (-3.077e-04, -9.580e-02)
                 0316      |      (-3.139e-04, -9.575e-02)
                 0317      |      (-3.194e-04, -9.570e-02)
                 0318      |      (-3.242e-04, -9.565e-02)
                 0319      |      (-3.284e-04, -9.559e-02)
                 0320      |      (-3.320e-04, -9.554e-02)
                 0321      |      (-3.364e-04, -9.546e-02)
                 0322      |      (-3.397e-04, -9.539e-02)
                 0323      |      (-3.420e-04, -9.531e-02)
                 0324      |      (-3.434e-04, -9.523e-02)
                 0325      |      (-3.439e-04, -9.515e-02)
                 0326      |      (-3.437e-04, -9.508e-02)
                 0327      |      (-3.428e-04, -9.500e-02)
                 0328      |      (-3.413e-04, -9.493e-02)
                 0329      |      (-3.366e-04, -9.478e-02)
                 0330      |      (-3.300e-04, -9.463e-02)
                 0331      |      (-3.218e-04, -9.450e-02)
                 0332      |      (-3.124e-04, -9.436e-02)
                 0333      |      (-2.903e-04, -9.411e-02)
                 0334      |      (-2.656e-04, -9.387e-02)
                 0335      |      (-2.389e-04, -9.367e-02)
                 0336      |      (-2.113e-04, -9.348e-02)
                 0337      |      (-1.832e-04, -9.332e-02)
                 0338      |      (-1.552e-04, -9.318e-02)
                 0339      |      (-1.275e-04, -9.306e-02)
                 0340      |      (-1.002e-04, -9.297e-02)
                 0341      |      (-7.382e-05, -9.290e-02)
                 0342      |      (-4.817e-05, -9.285e-02)
                 0343      |      (-2.360e-05, -9.282e-02)
                 0344      |      (0.000e+00, -9.281e-02)
                 0345      |      (0.000e+00, -9.687e-02)
                 0346      |      (-3.137e-05, -9.684e-02)
                 0347      |      (-6.012e-05, -9.674e-02)
                 0348      |      (-9.312e-05, -9.659e-02)
                 0349      |      (-1.391e-04, -9.642e-02)
                 0350      |      (-1.795e-04, -9.629e-02)
                 0351      |      (-2.107e-04, -9.617e-02)
                 0352      |      (-2.351e-04, -9.607e-02)
                 0353      |      (-2.547e-04, -9.596e-02)
                 0354      |      (-2.706e-04, -9.586e-02)
                 0355      |      (-2.833e-04, -9.575e-02)
                 0356      |      (-2.933e-04, -9.565e-02)
                 0357      |      (-3.010e-04, -9.554e-02)
                 0358      |      (-3.087e-04, -9.539e-02)
                 0359      |      (-3.125e-04, -9.523e-02)
                 0360      |      (-3.132e-04, -9.508e-02)
                 0361      |      (-3.113e-04, -9.493e-02)
                 0362      |      (-3.015e-04, -9.464e-02)
                 0363      |      (-2.857e-04, -9.436e-02)
                 0364      |      (-2.432e-04, -9.387e-02)
                 0365      |      (-1.937e-04, -9.348e-02)
                 0366      |      (-1.423e-04, -9.318e-02)
                 0367      |      (-9.195e-05, -9.297e-02)
                 0368      |      (-4.421e-05, -9.285e-02)
                 0369      |      (0.000e+00, -9.281e-02)
                 0370      |      (0.000e+00, -9.684e-02)
                 0371      |      (-1.122e-05, -9.683e-02)
                 0372      |      (-2.226e-05, -9.681e-02)
                 0373      |      (-3.298e-05, -9.677e-02)
                 0374      |      (-4.433e-05, -9.672e-02)
                 0375      |      (-5.729e-05, -9.665e-02)
                 0376      |      (-7.289e-05, -9.658e-02)
                 0377      |      (-9.283e-05, -9.650e-02)
                 0378      |      (-1.142e-04, -9.642e-02)
                 0379      |      (-1.341e-04, -9.635e-02)
                 0380      |      (-1.524e-04, -9.629e-02)
                 0381      |      (-1.687e-04, -9.623e-02)
                 0382      |      (-1.830e-04, -9.618e-02)
                 0383      |      (-1.957e-04, -9.612e-02)
                 0384      |      (-2.069e-04, -9.607e-02)
                 0385      |      (-2.170e-04, -9.602e-02)
                 0386      |      (-2.260e-04, -9.597e-02)
                 0387      |      (-2.341e-04, -9.591e-02)
                 0388      |      (-2.414e-04, -9.586e-02)
                 0389      |      (-2.479e-04, -9.581e-02)
                 0390      |      (-2.537e-04, -9.576e-02)
                 0391      |      (-2.588e-04, -9.570e-02)
                 0392      |      (-2.633e-04, -9.565e-02)
                 0393      |      (-2.673e-04, -9.560e-02)
                 0394      |      (-2.707e-04, -9.555e-02)
                 0395      |      (-2.750e-04, -9.547e-02)
                 0396      |      (-2.783e-04, -9.539e-02)
                 0397      |      (-2.806e-04, -9.531e-02)
                 0398      |      (-2.822e-04, -9.523e-02)
                 0399      |      (-2.830e-04, -9.516e-02)
                 0400      |      (-2.832e-04, -9.508e-02)
                 0401      |      (-2.828e-04, -9.500e-02)
                 0402      |      (-2.818e-04, -9.493e-02)
                 0403      |      (-2.783e-04, -9.478e-02)
                 0404      |      (-2.733e-04, -9.464e-02)
                 0405      |      (-2.668e-04, -9.450e-02)
                 0406      |      (-2.592e-04, -9.436e-02)
                 0407      |      (-2.413e-04, -9.411e-02)
                 0408      |      (-2.210e-04, -9.387e-02)
                 0409      |      (-1.990e-04, -9.366e-02)
                 0410      |      (-1.761e-04, -9.348e-02)
                 0411      |      (-1.528e-04, -9.332e-02)
                 0412      |      (-1.295e-04, -9.318e-02)
                 0413      |      (-1.064e-04, -9.306e-02)
                 0414      |      (-8.370e-05, -9.297e-02)
                 0415      |      (-6.164e-05, -9.290e-02)
                 0416      |      (-4.025e-05, -9.285e-02)
                 0417      |      (-1.970e-05, -9.282e-02)
                 0418      |      (0.000e+00, -9.281e-02)
                 0419      |      (0.000e+00, -9.680e-02)
                 0420      |      (-1.513e-05, -9.678e-02)
                 0421      |      (-3.194e-05, -9.669e-02)
                 0422      |      (-5.637e-05, -9.656e-02)
                 0423      |      (-9.270e-05, -9.642e-02)
                 0424      |      (-1.279e-04, -9.629e-02)
                 0425      |      (-1.571e-04, -9.618e-02)
                 0426      |      (-1.801e-04, -9.607e-02)
                 0427      |      (-1.985e-04, -9.597e-02)
                 0428      |      (-2.132e-04, -9.586e-02)
                 0429      |      (-2.249e-04, -9.576e-02)
                 0430      |      (-2.341e-04, -9.565e-02)
                 0431      |      (-2.412e-04, -9.555e-02)
                 0432      |      (-2.485e-04, -9.539e-02)
                 0433      |      (-2.524e-04, -9.523e-02)
                 0434      |      (-2.536e-04, -9.508e-02)
                 0435      |      (-2.526e-04, -9.493e-02)
                 0436      |      (-2.453e-04, -9.464e-02)
                 0437      |      (-2.330e-04, -9.436e-02)
