

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0459      |      (-3.012e-05, -2.753e-03)
                 0460      |      (-3.181e-05, -2.739e-03)
                 0461      |      (-3.341e-05, -2.724e-03)
                 0462      |      (-3.490e-05, -2.709e-03)
                 0463      |      (-3.628e-05, -2.692e-03)
                 0464      |      (-3.756e-05, -2.675e-03)
                 0465      |      (-3.873e-05, -2.657e-03)
                 0466      |      (-3.980e-05, -2.637e-03)
                 0467      |      (-4.077e-05, -2.617e-03)
                 0468      |      (-4.166e-05, -2.596e-03)
                 0469      |      (-4.250e-05, -2.575e-03)
                 0470      |      (-4.333e-05, -2.552e-03)
                 0471      |      (-4.419e-05, -2.528e-03)
                 0472      |      (-4.513e-05, -2.504e-03)
                 0473      |      (-4.623e-05, -2.479e-03)
                 0474      |      (-4.753e-05, -2.454e-03)
                 0475      |      (-4.905e-05, -2.428e-03)
                 0476      |      (-5.430e-05, -2.359e-03)
                 0477      |      (-6.033e-05, -2.292e-03)
                 0478      |      (-6.692e-05, -2.217e-03)
                 0479      |      (-7.230e-05, -2.146e-03)
                 0480      |      (-7.699e-05, -2.068e-03)
                 0481      |      (-8.027e-05, -1.994e-03)
                 0482      |      (-8.279e-05, -1.912e-03)
                 0483      |      (-8.426e-05, -1.836e-03)
                 0484      |      (-8.508e-05, -1.751e-03)
                 0485      |      (-8.521e-05, -1.673e-03)
                 0486      |      (-8.474e-05, -1.587e-03)
                 0487      |      (-8.381e-05, -1.508e-03)
                 0488      |      (-8.231e-05, -1.422e-03)
                 0489      |      (-8.050e-05, -1.343e-03)
                 0490      |      (-7.809e-05, -1.259e-03)
                 0491      |      (-7.544e-05, -1.181e-03)
                 0492      |      (-7.209e-05, -1.099e-03)
                 0493      |      (-6.851e-05, -1.024e-03)
                 0494      |      (-6.407e-05, -9.447e-04)
                 0495      |      (-5.941e-05, -8.743e-04)
                 0496      |      (-5.372e-05, -8.012e-04)
