

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  235      |      (8.501e-05, -1.917e-03)
                  236      |      (1.109e-04, -1.888e-03)
                  237      |      (1.349e-04, -1.852e-03)
                  238      |      (1.565e-04, -1.810e-03)
                  239      |      (1.754e-04, -1.762e-03)
                  240      |      (1.913e-04, -1.709e-03)
                  241      |      (2.042e-04, -1.651e-03)
                  242      |      (2.141e-04, -1.591e-03)
                  243      |      (2.234e-04, -1.347e-03)
                  244      |      (2.015e-04, -1.121e-03)
                  245      |      (1.393e-04, -8.147e-04)
                  246      |      (8.431e-05, -6.113e-04)
                  247      |      (3.176e-05, -4.106e-04)
                  248      |      (9.044e-06, -3.029e-04)
                  249      |      (-5.341e-07, -2.151e-04)
                  250      |      (0.000e+00, -1.931e-04)
                  251      |      (0.000e+00, -1.861e-03)
                  252      |      (5.402e-05, -1.846e-03)
                  253      |      (1.043e-04, -1.802e-03)
                  254      |      (1.476e-04, -1.732e-03)
                  255      |      (1.814e-04, -1.641e-03)
                  256      |      (2.042e-04, -1.535e-03)
                  257      |      (2.006e-04, -1.103e-03)
                  258      |      (9.178e-05, -6.103e-04)
                  259      |      (1.323e-05, -3.029e-04)
                  260      |      (0.000e+00, -1.930e-04)
                  261      |      (0.000e+00, -1.775e-03)
                  262      |      (2.555e-05, -1.771e-03)
                  263      |      (5.066e-05, -1.761e-03)
                  264      |      (7.495e-05, -1.744e-03)
                  265      |      (9.800e-05, -1.721e-03)
                  266      |      (1.195e-04, -1.693e-03)
                  267      |      (1.391e-04, -1.658e-03)
                  268      |      (1.565e-04, -1.619e-03)
                  269      |      (1.716e-04, -1.577e-03)
                  270      |      (1.843e-04, -1.530e-03)
                  271      |      (1.945e-04, -1.481e-03)
                  272      |      (2.102e-04, -1.278e-03)
                  273      |      (1.983e-04, -1.083e-03)
                  274      |      (1.489e-04, -8.031e-04)
                  275      |      (9.830e-05, -6.089e-04)
                  276      |      (4.378e-05, -4.111e-04)
                  277      |      (1.728e-05, -3.030e-04)
                  278      |      (2.813e-06, -2.152e-04)
                  279      |      (0.000e+00, -1.930e-04)
                  280      |      (0.000e+00, -1.694e-03)
                  281      |      (4.749e-05, -1.682e-03)
                  282      |      (9.202e-05, -1.646e-03)
                  283      |      (1.310e-04, -1.590e-03)
                  284      |      (1.624e-04, -1.516e-03)
                  285      |      (1.850e-04, -1.430e-03)
                  286      |      (1.953e-04, -1.063e-03)
                  287      |      (1.039e-04, -6.071e-04)
                  288      |      (2.108e-05, -3.031e-04)
                  289      |      (0.000e+00, -1.929e-04)
                  290      |      (0.000e+00, -1.620e-03)
                  291      |      (2.243e-05, -1.617e-03)
                  292      |      (4.451e-05, -1.609e-03)
                  293      |      (6.595e-05, -1.595e-03)
                  294      |      (8.640e-05, -1.577e-03)
                  295      |      (1.056e-04, -1.553e-03)
                  296      |      (1.233e-04, -1.526e-03)
                  297      |      (1.393e-04, -1.494e-03)
                  298      |      (1.535e-04, -1.459e-03)
                  299      |      (1.657e-04, -1.421e-03)
                  300      |      (1.758e-04, -1.381e-03)
                  301      |      (1.957e-04, -1.211e-03)
                  302      |      (1.915e-04, -1.043e-03)
                  303      |      (1.537e-04, -7.888e-04)
                  304      |      (1.086e-04, -6.050e-04)
                  305      |      (5.407e-05, -4.113e-04)
                  306      |      (2.475e-05, -3.031e-04)
                  307      |      (5.947e-06, -2.154e-04)
                  308      |      (0.000e+00, -1.929e-04)
                  309      |      (0.000e+00, -1.550e-03)
                  310      |      (4.174e-05, -1.540e-03)
                  311      |      (8.115e-05, -1.511e-03)
                  312      |      (1.161e-04, -1.465e-03)
                  313      |      (1.451e-04, -1.405e-03)
                  314      |      (1.670e-04, -1.334e-03)
                  315      |      (1.873e-04, -1.022e-03)
                  316      |      (1.125e-04, -6.025e-04)
                  317      |      (2.816e-05, -3.032e-04)
                  318      |      (0.000e+00, -1.929e-04)
                  319      |      (0.000e+00, -1.485e-03)
                  320      |      (1.972e-05, -1.483e-03)
                  321      |      (3.916e-05, -1.476e-03)
                  322      |      (5.808e-05, -1.466e-03)
                  323      |      (7.624e-05, -1.450e-03)
                  324      |      (9.341e-05, -1.431e-03)
                  325      |      (1.094e-04, -1.409e-03)
                  326      |      (1.240e-04, -1.383e-03)
                  327      |      (1.371e-04, -1.354e-03)
                  328      |      (1.487e-04, -1.323e-03)
                  329      |      (1.586e-04, -1.290e-03)
                  330      |      (1.810e-04, -1.147e-03)
                  331      |      (1.826e-04, -1.001e-03)
                  332      |      (1.549e-04, -7.722e-04)
                  333      |      (1.157e-04, -5.996e-04)
                  334      |      (6.269e-05, -4.109e-04)
                  335      |      (3.143e-05, -3.032e-04)
                  336      |      (8.858e-06, -2.156e-04)
                  337      |      (0.000e+00, -1.929e-04)
                  338      |      (0.000e+00, -1.425e-03)
                  339      |      (3.676e-05, -1.417e-03)
                  340      |      (7.168e-05, -1.393e-03)
                  341      |      (1.031e-04, -1.356e-03)
                  342      |      (1.297e-04, -1.306e-03)
                  343      |      (1.506e-04, -1.247e-03)
                  344      |      (1.777e-04, -9.808e-04)
                  345      |      (1.182e-04, -5.964e-04)
                  346      |      (3.445e-05, -3.032e-04)
                  347      |      (0.000e+00, -1.929e-04)
                  348      |      (0.000e+00, -1.369e-03)
                  349      |      (1.738e-05, -1.367e-03)
                  350      |      (3.454e-05, -1.361e-03)
                  351      |      (5.130e-05, -1.352e-03)
                  352      |      (6.744e-05, -1.340e-03)
                  353      |      (8.281e-05, -1.324e-03)
                  354      |      (9.722e-05, -1.306e-03)
                  355      |      (1.105e-04, -1.285e-03)
                  356      |      (1.227e-04, -1.261e-03)
                  357      |      (1.336e-04, -1.235e-03)
                  358      |      (1.431e-04, -1.207e-03)
                  359      |      (1.668e-04, -1.086e-03)
                  360      |      (1.726e-04, -9.602e-04)
                  361      |      (1.535e-04, -7.540e-04)
                  362      |      (1.201e-04, -5.929e-04)
                  363      |      (6.973e-05, -4.100e-04)
                  364      |      (3.732e-05, -3.032e-04)
                  365      |      (1.154e-05, -2.159e-04)
                  366      |      (0.000e+00, -1.930e-04)
                  367      |      (0.000e+00, -1.316e-03)
                  368      |      (3.249e-05, -1.309e-03)
                  369      |      (6.351e-05, -1.290e-03)
                  370      |      (9.175e-05, -1.259e-03)
                  371      |      (1.161e-04, -1.218e-03)
                  372      |      (1.359e-04, -1.168e-03)
                  373      |      (1.674e-04, -9.399e-04)
                  374      |      (1.215e-04, -5.890e-04)
                  375      |      (3.997e-05, -3.031e-04)
                  376      |      (0.000e+00, -1.930e-04)
                  377      |      (0.000e+00, -1.266e-03)
                  378      |      (1.538e-05, -1.265e-03)
                  379      |      (3.058e-05, -1.260e-03)
                  380      |      (4.547e-05, -1.253e-03)
                  381      |      (5.986e-05, -1.243e-03)
                  382      |      (7.363e-05, -1.230e-03)
                  383      |      (8.665e-05, -1.214e-03)
                  384      |      (9.879e-05, -1.197e-03)
                  385      |      (1.100e-04, -1.177e-03)
                  386      |      (1.201e-04, -1.155e-03)
                  387      |      (1.292e-04, -1.132e-03)
                  388      |      (1.534e-04, -1.029e-03)
                  389      |      (1.622e-04, -9.197e-04)
                  390      |      (1.502e-04, -7.345e-04)
                  391      |      (1.223e-04, -5.849e-04)
                  392      |      (7.534e-05, -4.085e-04)
                  393      |      (4.245e-05, -3.031e-04)
                  394      |      (1.399e-05, -2.162e-04)
                  395      |      (0.000e+00, -1.931e-04)
                  396      |      (0.000e+00, -1.220e-03)
                  397      |      (2.882e-05, -1.214e-03)
                  398      |      (5.648e-05, -1.198e-03)
                  399      |      (8.190e-05, -1.173e-03)
                  400      |      (1.042e-04, -1.138e-03)
                  401      |      (1.228e-04, -1.097e-03)
                  402      |      (1.570e-04, -8.999e-04)
                  403      |      (1.228e-04, -5.805e-04)
                  404      |      (4.473e-05, -3.029e-04)
                  405      |      (0.000e+00, -1.931e-04)
                  406      |      (0.000e+00, -1.176e-03)
                  407      |      (1.366e-05, -1.175e-03)
                  408      |      (2.719e-05, -1.171e-03)
                  409      |      (4.046e-05, -1.165e-03)
                  410      |      (5.333e-05, -1.157e-03)
                  411      |      (6.571e-05, -1.146e-03)
                  412      |      (7.748e-05, -1.133e-03)
                  413      |      (8.854e-05, -1.118e-03)
                  414      |      (9.882e-05, -1.101e-03)
                  415      |      (1.083e-04, -1.083e-03)
                  416      |      (1.168e-04, -1.063e-03)
                  417      |      (1.409e-04, -9.756e-04)
                  418      |      (1.518e-04, -8.803e-04)
                  419      |      (1.456e-04, -7.143e-04)
                  420      |      (1.228e-04, -5.758e-04)
                  421      |      (7.962e-05, -4.064e-04)
                  422      |      (4.685e-05, -3.028e-04)
                  423      |      (1.621e-05, -2.165e-04)
                  424      |      (0.000e+00, -1.932e-04)
                  425      |      (0.000e+00, -1.135e-03)
                  426      |      (2.567e-05, -1.131e-03)
                  427      |      (5.041e-05, -1.117e-03)
                  428      |      (7.335e-05, -1.096e-03)
                  429      |      (9.378e-05, -1.067e-03)
                  430      |      (1.112e-04, -1.031e-03)
                  431      |      (1.466e-04, -8.612e-04)
                  432      |      (1.225e-04, -5.709e-04)
                  433      |      (4.877e-05, -3.026e-04)
                  434      |      (0.000e+00, -1.933e-04)
                  435      |      (0.000e+00, -1.096e-03)
                  436      |      (1.219e-05, -1.095e-03)
                  437      |      (2.427e-05, -1.092e-03)
                  438      |      (3.614e-05, -1.087e-03)
                  439      |      (4.770e-05, -1.080e-03)
                  440      |      (5.885e-05, -1.071e-03)
                  441      |      (6.951e-05, -1.060e-03)
                  442      |      (7.959e-05, -1.048e-03)
                  443      |      (8.905e-05, -1.033e-03)
                  444      |      (9.782e-05, -1.018e-03)
                  445      |      (1.059e-04, -1.001e-03)
                  446      |      (1.294e-04, -9.257e-04)
                  447      |      (1.416e-04, -8.423e-04)
                  448      |      (1.401e-04, -6.936e-04)
                  449      |      (1.219e-04, -5.657e-04)
                  450      |      (8.274e-05, -4.037e-04)
                  451      |      (5.054e-05, -3.023e-04)
                  452      |      (1.819e-05, -2.167e-04)
                  453      |      (0.000e+00, -1.934e-04)
                  454      |      (0.000e+00, -9.926e-04)
                  455      |      (2.064e-05, -9.894e-04)
                  456      |      (4.067e-05, -9.798e-04)
                  457      |      (5.950e-05, -9.643e-04)
                  458      |      (7.663e-05, -9.433e-04)
                  459      |      (9.167e-05, -9.175e-04)
                  460      |      (1.274e-04, -7.889e-04)
                  461      |      (1.188e-04, -5.494e-04)
                  462      |      (5.478e-05, -3.012e-04)
                  463      |      (0.000e+00, -1.937e-04)
                  464      |      (0.000e+00, -9.044e-04)
                  465      |      (8.873e-06, -9.037e-04)
                  466      |      (1.769e-05, -9.018e-04)
                  467      |      (2.639e-05, -8.986e-04)
                  468      |      (3.492e-05, -8.942e-04)
                  469      |      (4.322e-05, -8.886e-04)
                  470      |      (5.125e-05, -8.819e-04)
                  471      |      (5.896e-05, -8.740e-04)
                  472      |      (6.632e-05, -8.651e-04)
                  473      |      (7.328e-05, -8.552e-04)
                  474      |      (7.983e-05, -8.445e-04)
                  475      |      (1.006e-04, -7.953e-04)
                  476      |      (1.144e-04, -7.385e-04)
                  477      |      (1.215e-04, -6.311e-04)
                  478      |      (1.138e-04, -5.316e-04)
                  479      |      (8.647e-05, -3.928e-04)
                  480      |      (5.776e-05, -2.996e-04)
                  481      |      (2.280e-05, -2.173e-04)
                  482      |      (0.000e+00, -1.941e-04)
                  483      |      (0.000e+00, -8.284e-04)
                  484      |      (1.529e-05, -8.264e-04)
                  485      |      (3.024e-05, -8.203e-04)
                  486      |      (4.450e-05, -8.103e-04)
                  487      |      (5.779e-05, -7.968e-04)
                  488      |      (6.984e-05, -7.800e-04)
