              TABLE A-1.  RAW LABORATORY DATA (TTI)

Samples TTIK,  TTIL, and TTIN used for report 
S11= Vertical stress.  S33=Radial pressure (psi)
T in K
E11= Recover&ble vertical strain
E11P= Permanent vertical strain over 200 cycles 
SUCTION (psi)
VWVT  WCON  GAMMA
CYCLE= Cycle number (starting after preconditioning)



DRY BASE COURSE MATERIAL
   
                  CODE1            T      SUCTION         VWVT                     WCON              6AMMAD
                 4.5            1    5.283E-05    6.019E-05      9.519E-03           4.636E-03           3000
                   6            1    8.542E-05    8.436E-05      9.586E-03           4.890E-03           3200
                   8            1    1.383E-04    1.383E-04      9.684E-03           4.865E-03           3400
                  10            1    1.628E-04    1.625E-04      9.794E-03           5.286E-09           3600
                  12            1    1.984E-04    1.896E-04      9.953E-03           5.287E-03           3800
                  14            1    2.289E-04    2.416E-04      1.015E-02           5.683E-03           4000


               CODE1            T      SUCTION         VWVT           WCON              GAMMAD
                TTII          298          6.6        0.093          0.042               133.3
                 S11          S33          E11          E33           E11P                E33P          CYCLE
                  45           30    6.115E-05    4.333E-05      7.375E-05           2.444E-06            200
                  90           30    4.902E-04    2.434E-04      7.875E-04           9.656E-05            400
                 114           30    7.619E-04    3.938E-04      2.340E-03           9.385E-04            600
                 135           30    9.314E-04    5.428E-04      4.077E-03           1.889E-03            800
                22.5           15    9.456E-05    6.324E-05      4.208E-03           1.866E-03           1000
                  45           15    5.199E-04    3.019E-04      4.297E-03           1.905E-03           1200
                  57           15    6.572E-04    4.123E-04      4.508E-03           1.950E-03           1400
                67.5           15    7.405E-04    4.733E-04      4.867E-03           2.092E-03           1600
                  90           15    9.063E-04    6.250E-04      6.010E-03           2.596E-03           1800
                  15            5    3.692E-04    2.676E-04      6.157E-03           2.688E-03           2000
                  19            5    4.353E-04    3.346E-04      6.300E-03           2.735E-03           2200
                22.5            5    4.852E-04    3.759E-04      6.410E-03           2.842E-03           2400
                  30            5    5.697E-04    4.726E-04      6.609E-03           3.016E-03           2600
                 3.8            1    1.058E-04    8.804E-05      6.646E-03           3.137E-03           2800
                 4.5            1    1.231E-04    9.830E-05      6.719E-03           3.311E-03           3000
                   6            1    1.679E-04    1.277E-04      6.780E-03           3.521E-03           3200
                   8            1    2.289E-04    2.063E-04      6.837E-03           3.507E-03           3400
                  10            1    2.452E-04    2.139E-04      6.918E-03           3.801E-03           3600
                  12            1    2.767E-04    2.432E-04      7.020E-03           3.963E-03           3800
                  14            1    3.214E-04    2.923E-04      7.077E-03           4.072E-03           4000


              CODE1          T        SUCTION            VWVT         WCON       GAMMAD
               TTIP        298            5.8           0.097       0.0435        133.3
                S11        S33            E11             E33         E11P         E33P          CYCLE
             44.075         30      9.163E-05       6.166E-05    1.875E-05    4.809E-05            200
             58.909         30      2.639E-04       1.346E-04    8.375E-05    8.264E-05            400
              74.02         30      4.104E-04       1.959E-04    1.025E-04    9.498E-05            600
              88.82         30      5.401E-04       2.608E-04    1.262E-04    9.498E-05            800
            104.138         30      6.455E-04       3.280E-04    1.500E-04    1.172E-04            1000
            118.679         30      7.263E-04       3.818E-04    2.062E-04    1.172E-04            1200
            133.427         30      8.209E-04       4.427E-04    3.275E-04    2.257E-04            1400
            148.848         30      9.065E-04       5.211E-04    7.237E-04    2.615E-04            1600
            163.149         30      1.004E-03       6.065E-04    1.384E-03    4.282E-04            1800
             178.39         30      1.003E-03       6.209E-04    2.360E-03    9.954E-04            2000
            209.648         30      1.216E-03       8.431E-04    3.905E-03    1.474E-03            2200
             22.167         15      7.322E-05       7.249E-05    3.933E-03    1.557E-03            2800
             26.589         15      1.724E-04       1.250E-04    3.945E-03    1.578E-03            3000
             29.455         15      2.380E-04       1.397E-04    3.949E-03    1.613E-03            3200
             36.612         15      3.966E-04       2.376E-04    3.925E-03    1.616E-03            3400
             44.393         15      5.233E-04       3.285E-04    3.946E-03    1.626E-03            3600
             59.348         15      7.095E-04       4.810E-04    3.990E-03    1.719E-03            3800
             74.285         15      8.285E-04       5.657E-04    4.067E-03    1.907E-03            4000
             89.475         15      8.973E-04       6.169E-04    4.280E-03    2.132E-03            4200
            103.939         15      9.735E-04       6.959E-04    4.445E-03    2.352E-03            4400
              8.532          5      5.041E-05       6.024E-05    4.450E-03    2.451E-03            5000
              9.533          5      9.775E-05       8.433E-05    4.453E-03    2.464E-03            5200
             11.735          5      2.075E-04       1.606E-04    4.441E-03    2.475E-03            5400
             13.609          5      2.625E-04       1.860E-04    4.449E-03    2.474E-03            5600
             14.248          5      2.930E-04       2.305E-04    4.449E-03    2.474E-03            5800
             17.192          5      3.876E-04       2.974E-04    4.462E-03    2.485E-03            6000
             19.351          5      4.378E-04       3.352E-04    4.462E-03    2.497E-03            6200
             21.847          5      4.715E-04       3.524E-04    4.498E-03    2.510E-03            6400
             24.627          5      5.233E-04       3.995E-04    4.502E-03    2.570E-03            6600
             29.523          5      5.874E-04       4.438E-04    4.518E-03    2.628E-03            6800
              2.883          1      4.734E-05       1.112E-04    4.522E-03    2.641E-03            7200
              3.902          1      1.160E-04       1.583E-04    4.522E-03    2.684E-03            7400
              4.912          1      1.526E-04       1.718E-04    4.534E-03    2.676E-03            7600
              5.387          1      1.770E-04       2.041E-04    4.534E-03    2.722E-03            7800
              5.827          1      1.891E-04       2.074E-04    4.535E-03    2.788E-03            8000
              6.863          1      2.151E-04       2.275E-04    4.530E-03    2.788E-03            8200
              7.848          1      2.518E-04       2.538E-04    4.562E-03    2.816E-03            8400
              8.823          1      2.748E-04       2.659E-04    4.551E-03    2.850E-03            8600
              9.851          1      2.930E-04       2.959E-04    4.559E-03    2.925E-03            8800
             11.845          1      3.250E-04       2.951E-04    4.603E-03    2.920E-03            9000
             13.857          1      3.539E-04       3.246E-04    4.616E-03    2.938E-03            9200
               15.8          1      3.753E-04       3.479E-04    4.652E-03    2.994E-03            9400


DRY SAND

              CODE1              T            SUCTION          VWVT          WCON         GAMMAD
               TTIL            298             -35.39         0.059         0.038           97.3
                S11            S33                E11           E33          E11P           E33P          CYCLE
            32.4524             30          1.843E-05    -2.131E-05    -8.667E-05     -1.018E-04            200
            44.4555             30          1.598E-04    -1.372E-04     0.000E+00     -4.373E-04            400
            66.8366             30          5.778E-04    -3.000E-04     2.100E-03     -5.302E-04            600
            89.3892             30          9.317E-04    -3.628E-03     2.134E-03     -1.324E-03            800
            21.8911             15          7.658E-05    -6.884E-05     2.226E-03     -1.347E-03           1000
            44.3241             15          5.239E-04    -2.963E-04     2.353E-03     -1.926E-03           1200
           56.39584             15          8.451E-04    -4.289E-04     3.849E-03     -2.792E-03           1400
            14.4117              5          1.641E-04    -7.587E-05     3.860E-03     -2.734E-03           1600
            18.4359              5          2.971E-04    -1.176E-04     4.017E-03     -2.868E-03           1800
            21.9415              5          4.139E-04    -2.870E-04     4.873E-03     -3.397E-03           2000
             29.275              5          6.245E-04    -4.991E-04     4.900E-03     -3.980E-03           2200
           3.228522              1          7.645E-05    -5.802E-05     4.900E-03     -4.200E-03           2400
             3.9016              1          1.038E-04    -1.018E-04     4.911E-03     -4.175E-03           2600
            5.35271              1          1.636E-04    -1.479E-04     5.276E-03     -4.982E-03           2800
            7.44259              1          2.525E-04    -2.761E-04     1.341E-02     -1.635E-02           3000



WET SAND
  
                 CODE1           T      SUCTION         VWVT           WCON              GAMMAD
                  TTIK         298       -93.88      0.23146          0.143                 101
                   S11         S33          E11          E33           E11P                E33P          CYCLE
                    33          30    1.492E-05    2.115E-05      1.667E-05          -1.233E-05            200
                    45          30    1.559E-04    1.163E-04      7.556E-05           2.344E-05            400
                    90          30    8.504E-04    3.319E-04      1.671E-03           1.542E-04            600
                   114          30    1.176E-03    5.123E-04      4.227E-03           1.408E-03            800
                  22.5          15    9.225E-05    7.933E-05      4.374E-03           1.408E-03           1000
                    45          15    4.964E-04    2.020E-04      4.814E-03           1.445E-03           1200
                    57          15    7.093E-04    2.856E-04      4.933E-03           1.482E-03           1400
                  67.5          15    8.764E-04    3.858E-04      5.557E-03           1.726E-03           1600
                   7.5           5    3.256E-05    2.417E-05      5.557E-03           1.726E-03           1800
                    15           5    1.302E-04    1.454E-04      5.538E-03           1.726E-03           2000
                    19           5    3.229E-04    2.018E-04      5.580E-03           1.763E-03           2200
                  22.5           5    3.989E-04    2.151E-04      6.041E-03           1.889E-03           2400
                    30           5    5.710E-04    3.653E-04      7.500E-03           3.875E-03           2600
                   3.8           1    8.269E-05    9.312E-05      7.576E-03           3.875E-03           2800
                   4.5           1    1.193E-04    1.055E-04      7.576E-03           3.897E-03           3000
                     6           1    1.641E-04    1.422E-04      7.576E-03           3.875E-03           3200
                     8           1    2.237E-04    1.717E-04      7.624E-03           3.909E-03           3400
                    10           1    2.726E-04    2.434E-04      8.222E-03           5.332E-03           3600
                    12           1    3.214E-04    3.517E-04      1.224E-02           1.115E-02           3800

